Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
02-08-21,20,20.5,19.4,19.9,19.99,342809,774,6853854,284292,82.93,1.1,-0.1
30-07-21,20,22.05,20,20,20.26,1268769,1039,25711175,915101,72.13,2.05,0
29-07-21,21.05,21.05,21.05,21.05,21.05,60168,185,1266536,60168,100,0,0
28-07-21,22.65,23.9,22.15,22.15,22.36,113100,309,2528717,101791,90,1.75,-0.5
27-07-21,23.3,25.25,23.3,23.3,23.6,915457,878,21601683,737813,80.6,1.95,0
26-07-21,24.5,24.5,24.5,24.5,24.5,30809,149,754820,30809,100,0,0
23-07-21,25.75,26.9,25.75,25.75,25.9,663929,428,17195592,451084,67.94,1.15,0
22-07-21,27.1,27.1,27.1,27.1,27.1,116470,126,3156337,116470,100,0,0
20-07-21,28.5,28.5,28.5,28.5,28.5,67652,126,1928082,67652,100,0,0
19-07-21,29.95,29.95,29.95,29.95,29.95,46327,155,1387493,46327,100,0,0
16-07-21,33.4,33.4,31.05,31.5,31.82,60999,223,1941292,59102,96.89,2.35,-1.9
15-07-21,33.65,33.65,32.1,32.35,32.8,87822,277,2880613,57536,65.51,1.55,-1.3
14-07-21,33.1,33.75,32.5,33.05,33.14,95358,235,3160281,86300,90.5,1.25,-0.05
13-07-21,33.3,34.05,33,33.05,33.39,51367,230,1715345,42862,83.44,1.05,-0.25
12-07-21,33.9,35,33,33.05,33.72,101312,358,3416673,78763,77.74,2,-0.85
09-07-21,34.4,34.8,33.5,33.9,34.27,57205,198,1960233,51543,90.1,1.3,-0.5
08-07-21,34.8,34.8,34,34.2,34.3,38057,158,1305253,32962,86.61,0.8,-0.6
07-07-21,34.4,35,33.05,34,33.83,167620,363,5670487,123232,73.52,1.95,-0.4
06-07-21,36,36,34.45,34.45,34.91,232239,598,8108013,190274,81.93,1.55,-1.55
05-07-21,36.75,36.75,35.7,36.25,36.63,264982,550,9705728,181213,68.39,1.05,-0.5
02-07-21,33.9,35,32.75,35,34.58,309566,587,10703333,242168,78.23,2.25,1.1
